"","Date","Year","Month","Julian_Day","pH","Station","Depth_m","PO4_P_mgl","TDP_mgl","UTP_mgl","NO3_N_plus_n02_mg_l","NH3_N_mg_l","UTN_mgl","SiO2_Si_mgl","Iron_mgl","Particulate_Carbon_mgl","Mg_mgl","Ca_mgl","Alkalinity_mg_ca03"
"32",2000-08-13,2000,8,226,7,"3",66,0.01,0.015,0.015,0.069,0.012,0.119,0.87,NA,NA,4.085,2.98,1.84
"33",2000-09-14,2000,9,258,6.8,"2",1,0.001,0.004,0.009,0,0.002,0.09,0.55,NA,NA,2.055,2.45,1.35
"34",2000-09-14,2000,9,258,6.8,"2",66,0.001,0.002,0.004,0.073,0.009,0.103,0.89,NA,NA,3.976,3.09,1.72
"35",2000-09-14,2000,9,258,6,"3",1,0,0.003,0.007,0.002,0.002,0.082,0.56,NA,NA,2.205,2.51,0.64
"36",2000-09-14,2000,9,258,6.8,"3",66,0,0.002,0.003,0.073,0.003,0.113,0.89,NA,NA,4.172,3.11,1.6
"37",2000-10-24,2000,10,298,7,"2",66,0.001,0.003,0.001,0.074,0.002,0.104,0.93,NA,NA,4.414,3.12,1.87
"38",2001-04-24,2001,4,114,7,"2",1,0,0.003,0.004,0.054,0.001,0.104,0.74,NA,NA,3.568,3.02,1.85
"39",2001-04-24,2001,4,114,7,"2",66,NA,0.002,0,0.061,0.002,0.101,0.79,NA,NA,3.956,3.08,1.85
"40",2001-04-24,2001,4,114,6.9,"3",66,0,0.003,0.004,0.055,NA,0.095,0.74,NA,NA,3.668,3,1.78
"41",2001-05-21,2001,5,141,7,"2",1,0.002,0.003,0.005,0.048,0.004,0.098,0.74,NA,NA,3.538,2.91,1.85
"42",2001-05-21,2001,5,141,7,"2",66,0.001,0.003,0.005,0.056,0.001,0.096,0.75,NA,NA,3.929,2.92,1.87
"43",2001-05-21,2001,5,141,7,"3",1,0.001,0.003,0.005,0.045,0.001,0.095,0.71,NA,NA,3.748,2.81,1.8
"44",2001-06-25,2001,6,176,7.1,"2",1,0.002,0.001,0.005,0.01,0.005,0.07,0.45,NA,NA,3.129,2.74,1.87
"45",2001-06-25,2001,6,176,6.9,"2",66,0,0.001,0.002,0.058,0.001,0.098,0.75,NA,NA,4.248,3.04,1.87
"46",2001-06-25,2001,6,176,7.1,"3",1,0.001,0.001,0.004,0.011,0.002,0.071,0.46,NA,NA,3.203,2.75,1.87
"47",2001-06-25,2001,6,176,7,"3",66,0,0.001,0.002,0.056,0.001,0.096,0.73,NA,NA,4.208,2.99,1.9
"48",2001-07-16,2001,7,197,6.9,"2",66,0.001,0.003,0.004,0.06,0,0.1,0.08,NA,NA,3.893,3,1.85
"49",2001-07-16,2001,7,197,7.1,"3",1,0,0.003,0.006,0.001,0,0.061,0.42,NA,NA,2.94,2.72,1.8
"50",2001-07-16,2001,7,197,6.9,"3",66,0,0.004,0.005,0.059,0,0.099,0.8,NA,NA,3.904,3.07,1.8
"51",2001-08-20,2001,8,232,7.1,"2",1,0.004,0.007,0.014,0,0,0.06,0.38,NA,NA,2.239,2.68,1.85
"52",2001-08-20,2001,8,232,7,"2",66,0.002,0.002,0.004,0.063,0.002,0.103,0.78,NA,NA,3.906,3.11,1.82
"53",2001-08-20,2001,8,232,6.9,"3",1,0.004,0.007,0.011,0,0.001,0.05,0.38,NA,NA,2.389,2.7,1.55
"54",2001-08-20,2001,8,232,7,"3",66,0.002,0.001,0.004,0.06,0.003,0.1,0.75,NA,NA,3.751,3.07,1.8
"55",2001-09-17,2001,9,260,7,"2",1,0.004,0.007,0.009,0,0,0.06,0.39,NA,NA,2.358,2.5,1.77
"56",2001-09-17,2001,9,260,6.9,"2",66,0.001,0.002,0.004,0.063,0.005,0.093,0.8,NA,NA,3.982,3.03,1.87
"57",2001-09-17,2001,9,260,7.1,"3",1,0.001,0.005,0.007,0.001,0,0.071,0.43,NA,NA,2.502,2.56,1.72
"58",2001-09-17,2001,9,260,6.9,"3",66,0,0.002,0.003,0.063,0.006,0.103,0.76,NA,NA,3.901,3,1.82
"59",2001-10-16,2001,10,289,7,"2",1,0.001,0.002,0.006,0.021,0,0.081,0.52,NA,NA,2.737,2.57,1.77
"60",2001-10-16,2001,10,289,7,"3",1,0,0.002,0.004,0.019,0.002,0.069,0.52,NA,NA,2.706,2.63,1.75
"61",2001-10-16,2001,10,289,7,"3",66,0,0.002,0.003,0.067,0.01,0.107,0.78,NA,NA,4.669,3.14,1.89
"62",2002-06-09,2002,6,160,6.9,"2",1,0.001,0.002,0.004,0.039,0.001,0.099,0.68,NA,NA,3.279,2.88,1.85
"63",2002-06-09,2002,6,160,6.9,"2",66,0.001,0.002,0.003,0.055,0.005,0.095,0.71,NA,NA,4.301,3.06,1.8
"64",2002-06-09,2002,6,160,7,"3",1,0.001,0.002,0.003,0.042,0,0.102,0.69,NA,NA,3.688,2.88,1.85
"65",2002-06-09,2002,6,160,7,"3",66,0.001,0.001,0.003,0.054,0.003,0.094,0.7,NA,NA,4.304,3.02,1.87
"66",2002-07-07,2002,7,188,7,"2",1,0.001,0.002,0.004,0.014,0.003,0.084,0.62,NA,NA,2.834,2.73,1.8
"67",2002-07-07,2002,7,188,6.8,"2",66,0,0.002,0.003,0.058,0,0.128,0.72,NA,NA,4.116,3.02,1.6
"68",2002-07-07,2002,7,188,6.6,"3",1,0,0.002,0.002,0.019,0,0.069,0.61,NA,NA,2.894,2.75,1.23
"69",2002-08-11,2002,8,223,6.9,"2",66,0,0.003,0.003,0.045,0,0.085,0.29,NA,NA,4.25,3,1.62
"70",2002-08-11,2002,8,223,7,"3",1,0.001,0.004,0.005,0,0.001,0.07,0.26,NA,NA,2.798,2.44,1.77
"71",2002-08-11,2002,8,223,7,"3",66,0,0.002,0.003,0.048,0.002,0.088,0.29,NA,NA,3.817,2.83,1.82
"72",2002-09-20,2002,9,263,7,"2",1,0.001,0.003,0.009,0.001,0.004,0.071,0.63,NA,NA,1.776,2.35,1.81
"73",2002-09-20,2002,9,263,6.9,"2",66,0.001,0.002,0.003,0.061,0.003,0.081,0.74,NA,NA,3.661,3.08,1.83
"74",2002-09-20,2002,9,263,7,"3",1,0,0.002,0.006,0,0.003,0.05,0.62,NA,NA,1.793,2.38,1.71
"75",2002-09-20,2002,9,263,6.9,"3",66,0.001,0.002,0.003,0.061,0.002,0.091,0.71,NA,NA,3.788,3.18,1.66
"76",2002-10-17,2002,10,290,7,"2",66,0.001,0.002,0.002,0.062,0,0.092,0.74,NA,NA,3.788,3.12,1.87
"77",2002-10-17,2002,10,290,7,"3",1,0.004,0.006,0.011,0.016,0.005,0.086,0.7,NA,NA,1.748,2.43,1.72
"78",2002-10-17,2002,10,290,7,"3",66,0.001,0.002,0.003,0.063,0.001,0.093,0.74,NA,NA,3.813,3.14,1.85
"79",2003-04-07,2003,4,97,6.9,"2",66,0,0.002,0.005,0.063,0,0.103,0.77,NA,NA,3.997,2.9,1.62
"80",2003-04-07,2003,4,97,6.9,"3",1,0,0.002,0.005,0.061,0,0.101,0.78,NA,NA,3.594,2.8,1.72
"81",2003-04-07,2003,4,97,6.9,"3",66,0,0.003,0.009,0.061,0,0.101,0.76,NA,NA,3.642,2.82,1.67
"82",2003-05-15,2003,5,135,6.9,"2",1,0.001,0.002,0.004,0.054,0.005,0.114,0.78,NA,NA,3.373,2.85,1.71
"83",2003-05-15,2003,5,135,6.9,"2",66,0,0.002,0.002,0.067,0,0.107,0.79,NA,NA,4.301,3.03,1.76
"84",2003-05-15,2003,5,135,6.9,"3",66,0.001,0.004,0.003,0.064,0.003,0.104,0.79,NA,NA,4,2.95,1.74
"85",2003-06-25,2003,6,176,7,"2",1,0.001,0.002,0.004,0.027,0.004,0.097,0.72,NA,NA,3.471,2.75,1.73
"86",2003-06-25,2003,6,176,6.9,"2",66,0.001,0.004,0.003,0.065,0.002,0.115,0.8,NA,NA,4.571,2.96,1.68
"87",2003-06-25,2003,6,176,7,"3",1,0,0.003,0.004,0.029,0.001,0.099,0.72,NA,NA,3.551,2.58,1.73
"88",2003-07-18,2003,7,199,7,"2",1,0.002,0.004,0.007,0,0.002,0.07,0.65,NA,NA,3.221,2.59,1.77
"89",2003-07-18,2003,7,199,6.9,"2",66,0,0.003,0.004,0.065,0,0.105,0.77,NA,NA,4.77,2.81,1.69
"90",2003-07-18,2003,7,199,7,"3",1,0,0.003,0.007,0,0.001,0.07,0.66,NA,NA,3.149,2.65,1.79
"91",2003-07-18,2003,7,199,6.8,"3",66,0,0.003,0.004,0.065,0.001,0.105,0.75,NA,NA,4.875,2.8,1.67
"92",2003-08-17,2003,8,229,7,"2",1,0,0.004,0.009,0,0,0.08,0.64,NA,NA,2.545,2.8,1.71
"93",2003-08-17,2003,8,229,6.9,"2",66,0,0.003,0.003,0.064,0,0.104,0.78,NA,NA,3.938,3.02,1.51
"94",2003-08-17,2003,8,229,6.5,"3",66,0,0.002,0.003,0.064,0,0.104,0.77,NA,NA,3.868,3.08,0.89
"95",2003-09-18,2003,9,261,6.8,"2",1,0,0.005,0.007,0.01,0.002,0.08,0.68,NA,NA,2.347,2.64,1.65
"96",2003-09-18,2003,9,261,6.6,"2",66,0,0.002,0.003,0.034,0,0.074,0.78,NA,NA,3.95,3.13,1.17
"97",2003-09-18,2003,9,261,6.8,"3",1,0,0.003,0.007,0.009,0.003,0.079,0.67,NA,NA,2.29,2.65,1.67
"98",2003-09-18,2003,9,261,6.8,"3",66,0,0.001,0.004,0.05,0.001,0.09,0.78,NA,NA,3.982,3.12,1.7
"99",2003-10-15,2003,10,288,NA,"2",1,0.001,0.002,NA,0.029,0.005,NA,0.72,NA,NA,2.643,2.57,NA
"100",2004-04-19,2004,4,110,6.9,"2",1,0,0.001,0.006,0.061,0.005,0.121,0.84,NA,NA,3.905,2.91,1.74
"101",2004-04-19,2004,4,110,6.9,"2",66,0,0.002,0.004,0.063,0.003,0.113,0.81,NA,NA,4.228,2.93,1.72
"102",2004-04-19,2004,4,110,6.9,"3",1,0,0.002,0.002,0.064,0.003,0.104,0.79,NA,NA,4.025,2.83,1.66
"103",2004-04-19,2004,4,110,6.7,"3",66,0,0.002,0.002,0.061,0.002,0.101,0.78,NA,NA,4.106,2.82,1.24
"104",2004-05-26,2004,5,147,7,"2",1,0.005,0.002,0.004,0.044,0.002,0.094,0.75,NA,NA,3.403,2.72,1.81
"105",2004-05-26,2004,5,147,7,"2",66,0,0.003,0.003,0.068,0.001,0.108,0.78,NA,NA,4.21,2.83,1.78
"106",2004-05-26,2004,5,147,6.9,"3",66,0,0,0.005,0.068,0.002,0.098,0.79,NA,NA,4.193,2.68,1.61
"107",2004-06-17,2004,6,169,7,"2",1,0.002,0.003,0.006,0.032,0.003,0.102,0.74,NA,NA,3.014,2.84,1.75
"108",2004-06-17,2004,6,169,6.6,"2",66,0.001,0.005,0.003,0.069,0.004,0.109,0.81,NA,NA,3.762,2.96,1.15
"109",2004-06-17,2004,6,169,6.9,"3",66,0.001,0.004,0.006,0.065,0.001,0.105,0.78,NA,NA,3.656,2.91,1.6
"110",2004-07-21,2004,7,203,7,"2",1,0.002,0.004,0.008,0,0.002,0.07,0.49,NA,NA,2.645,3.2,1.84
"111",2004-07-21,2004,7,203,6.9,"2",66,0.001,0.001,0.001,0.068,0,0.098,0.77,NA,NA,4.237,3.17,1.74
"112",2004-07-21,2004,7,203,7,"3",1,0,0.002,0.003,0,0.002,0.06,0.51,NA,NA,2.759,2.83,1.79
"113",2004-07-21,2004,7,203,6.9,"3",66,0,0.001,0.001,0.069,0.002,0.109,0.78,NA,NA,4.196,3.04,1.76
"114",2004-08-23,2004,8,236,7.1,"2",1,0.002,0.01,0.013,0,0.002,0.07,0.5,NA,NA,2.501,2.76,1.93
"115",2004-08-23,2004,8,236,7.1,"2",66,0,0.005,0.005,0.069,0,0.119,0.79,NA,NA,4.316,3.11,1.81
"116",2004-08-23,2004,8,236,7.1,"3",1,0.001,0.006,0.009,0,0.002,0.07,0.5,NA,NA,2.531,2.8,1.86
"117",2004-09-14,2004,9,258,7,"2",1,0,0.01,0.015,0,0.003,0.08,0.55,NA,NA,2.453,2.63,1.65
"118",2004-09-14,2004,9,258,7,"2",66,0,0.004,0.005,0.072,0.001,0.112,0.78,NA,NA,4.348,2.85,1.75
"119",2004-09-14,2004,9,258,7.1,"3",1,0,0.008,0.01,0.001,0.002,0.071,0.55,NA,NA,2.494,2.6,1.77
"120",2004-09-14,2004,9,258,6.9,"3",66,0,0.005,0.005,0.072,0.001,0.112,0.78,NA,NA,4.224,2.89,1.6
"121",2004-10-15,2004,10,289,7,"2",1,0.001,0.009,0.012,0.017,0.015,0.087,0.7,NA,NA,2.29,2.51,1.68
"122",2004-10-15,2004,10,289,7,"2",66,0.001,0.007,0.005,0.071,0.003,0.111,0.8,NA,NA,4.298,2.91,1.73
"123",2004-10-15,2004,10,289,7,"3",1,0.001,0.006,0.009,0.017,0.008,0.087,0.67,NA,NA,2.364,2.5,1.68
"124",2004-10-15,2004,10,289,7,"3",66,0,0.004,0.004,0.072,0.004,0.102,0.8,NA,NA,4.232,2.91,1.75
"125",2005-04-06,2005,4,96,6.8,"2",1,0.002,0.011,0.01,0.063,0.002,0.063,0.89,NA,NA,0.629,2.87,1.71
"126",2005-05-16,2005,5,136,6.9,"2",1,0.002,0.01,0.011,0.048,0.002,0.1,0.78,NA,NA,3.168,2.8,1.73
"127",2005-05-16,2005,5,136,6.9,"2",66,0.001,0.006,0.006,0.066,0.001,0.12,0.85,NA,NA,3.571,2.91,1.73
"128",2005-05-16,2005,5,136,6.9,"3",1,0.002,0.006,0.007,0.037,0.003,0.11,0.79,NA,NA,3.333,2.83,1.73
"129",2005-06-21,2005,6,172,7.1,"2",1,0.004,0.014,0.012,0,0.012,0.06,0.59,NA,NA,2.868,2.82,1.78
"130",2005-06-21,2005,6,172,7,"2",66,0.001,0.005,0.005,0.067,0.001,0.09,0.79,NA,NA,3.55,2.94,1.7
"131",2005-06-21,2005,6,172,6,"3",1,0.004,0.011,0.014,0,0,0.06,0.59,NA,NA,2.966,2.83,0.57
"132",2005-06-21,2005,6,172,6.9,"3",66,0.001,0.006,0.005,0.066,0.005,0.09,0.79,NA,NA,3.64,2.89,1.68
"133",2005-07-26,2005,7,207,6.9,"2",1,0.011,0.02,0.019,0,0.004,0.09,0.6,NA,NA,2.511,2.69,1.76
"134",2005-07-26,2005,7,207,6.9,"2",66,0.005,0.01,0.01,0.067,0,0.09,0.82,NA,NA,3.562,2.91,1.79
"135",2005-07-26,2005,7,207,6.5,"3",1,0.008,0.017,0.017,0,0,0.07,0.59,NA,NA,2.565,2.75,1.21
"136",2005-08-23,2005,8,235,6.9,"2",66,0.001,0.007,0.006,0.068,0,0.04,0.8,NA,NA,3.58,2.95,1.58
"137",2005-08-23,2005,8,235,6.9,"3",1,0.002,0.008,0.011,0,0,0.07,0.57,NA,NA,2.321,2.76,1.41
"138",2005-08-23,2005,8,235,6.8,"3",66,0.001,0.006,0.005,0.069,0.002,0.1,0.81,NA,NA,3.636,3.03,0.13
"139",2005-09-20,2005,9,263,6.5,"2",1,0.004,0.01,0.012,0.009,0.006,0.08,0.66,NA,NA,1.925,2.58,1.13
"140",2005-09-20,2005,9,263,6.5,"2",66,0.001,0.009,0.009,0.069,0.001,0.1,0.82,NA,NA,3.575,3.01,1.18
"141",2005-09-20,2005,9,263,6.3,"3",1,0.002,0.007,0.01,0.012,0.004,0.08,0.69,NA,NA,2.133,2.63,0.85
"142",2005-10-12,2005,10,285,7,"2",1,0.003,0.008,0.009,0.033,0.002,0.1,0.81,NA,NA,2.182,2.61,1.69
"143",2005-10-12,2005,10,285,6.9,"2",66,0.002,0.005,0.006,0.074,0.004,0.11,0.88,NA,NA,3.708,3.09,1.79
"144",2005-10-12,2005,10,285,7,"3",1,0.003,0.007,0.006,0.033,0.005,0.09,0.81,NA,NA,2.268,2.63,1.69
"145",2005-10-12,2005,10,285,6.9,"3",66,0.001,0.005,0.005,0.07,0,0.11,0.87,NA,NA,3.633,3.04,1.72
"146",2006-04-19,2006,4,109,6.8,"2",1,0.001,0.004,0.006,0.062,0,0.09,0.85,NA,NA,3.997,2.67,1.66
"147",2006-04-19,2006,4,109,6.8,"2",66,0.001,0.008,0.009,0.064,0.002,0.1,0.84,NA,NA,4.237,2.81,1.59
"148",2006-04-19,2006,4,109,6.8,"3",66,0.002,0.007,0.007,0.064,0.002,0.11,0.84,NA,NA,4.471,2.74,1.66
"149",2006-05-17,2006,5,137,6.9,"2",1,0.002,0.01,0.011,0.063,0.005,0.13,0.84,NA,NA,3.804,2.6,1.73
"150",2006-05-17,2006,5,137,6.9,"2",66,0.001,0.007,0.008,0.063,0.005,0.11,0.84,NA,NA,4.218,2.76,1.75
"151",2006-05-17,2006,5,137,7,"3",66,0.001,0.005,0.006,0.062,0.004,0.11,0.84,NA,NA,4.04,2.52,1.75
"152",2006-06-21,2006,6,172,6.9,"2",1,0.002,0.01,0.013,0.022,0.004,0.09,0.69,NA,NA,2.44,2.53,1.56
"153",2006-06-21,2006,6,172,6.9,"2",66,0.002,0.008,0.007,0.067,0.001,0.09,0.85,NA,NA,3.586,2.77,1.77
"154",2006-06-21,2006,6,172,7,"3",66,0.001,0.006,0.007,0.067,0.001,0.11,0.85,NA,NA,3.684,2.87,1.77
"155",2006-07-21,2006,7,202,7,"2",1,0.074,0.102,0.106,0.002,0.037,0.12,0.57,NA,NA,2.44,2.81,1.73
"156",2006-07-21,2006,7,202,7,"3",1,0.055,0.068,0.071,0.001,0.032,0.12,0.61,NA,NA,2.64,2.63,1.7
"157",2006-07-21,2006,7,202,7,"3",66,0.027,0.035,0.036,0.07,0.018,0.13,0.81,NA,NA,3.75,2.97,1.75
"158",2006-08-11,2006,8,223,7,"2",1,0.014,0.039,0.041,0,0.005,0.08,0.58,NA,NA,2.38,2.21,1.63
"159",2006-08-11,2006,8,223,7,"2",66,0.015,0.024,0.021,0.071,0.007,0.11,0.85,NA,NA,3.82,2.8,1.78
"160",2006-08-11,2006,8,223,7,"3",1,0.026,0.038,0.04,0,0.011,0.1,0.62,NA,NA,2.56,2.32,1.7
"161",2006-08-11,2006,8,223,6.9,"3",66,0.013,0.019,0.01,0.068,0.006,0.11,0.83,NA,NA,3.85,2.61,1.78
"162",2006-09-12,2006,9,255,7,"2",66,0.001,0.002,0.003,0.066,0.007,0.12,0.83,NA,NA,3.84,2.78,1.77
"163",2006-09-12,2006,9,255,7,"3",1,0.002,0.024,0.032,0,0.006,0.12,0.64,NA,NA,2.31,2.3,1.57
"164",2006-09-12,2006,9,255,7,"3",66,0.002,0.004,0.003,0.066,0.001,0.12,0.83,NA,NA,3.83,2.82,1.77
"165",2006-10-12,2006,10,285,6.9,"2",1,0.002,0.009,0.014,0.016,0.006,0.11,0.72,NA,NA,2.28,2.2,1.59
"166",2006-10-12,2006,10,285,6.9,"2",66,0.004,0.011,0.012,0.069,0,0.13,0.86,NA,NA,3.77,2.7,1.74
"167",2006-10-12,2006,10,285,7,"3",66,0.002,0.009,0.01,0.068,0,0.12,0.83,NA,NA,3.88,2.6,1.71
"168",2007-04-18,2007,4,108,6.8,"2",1,0.001,0.007,0.009,0.068,0.001,0.13,0.88,NA,NA,3.71,2.74,1.43
"169",2007-04-18,2007,4,108,6.9,"2",66,0.001,0.006,0.007,0.073,0.001,0.09,0.9,NA,NA,3.95,2.9,1.75
"170",2007-04-18,2007,4,108,6.9,"3",1,0.001,0.006,0.007,0.069,0.002,0.1,0.88,NA,NA,3.69,2.72,1.63
"171",2007-04-18,2007,4,108,6.9,"3",66,0.001,0.004,0.007,0.07,0.002,0.1,0.88,NA,NA,3.72,2.64,1.73
"172",2007-05-17,2007,5,137,7,"2",1,0.002,0.015,0.018,0.065,0.004,0.13,0.88,NA,NA,3.3,2.87,1.71
"173",2007-05-17,2007,5,137,7,"2",66,0.001,0.007,0.008,0.07,0.002,0.12,0.85,NA,NA,3.66,2.93,1.76
"174",2007-05-17,2007,5,137,7,"3",1,0.006,0.013,0.009,0.065,0.004,0.06,0.85,NA,NA,3.48,2.9,1.73
"175",2007-05-17,2007,5,137,7,"3",66,0.011,0.017,0.02,0.07,0.003,0.14,0.87,NA,NA,3.55,2.96,1.76
"176",2007-06-19,2007,6,170,7,"2",1,0.001,0.013,0.017,0.017,0.001,0.13,0.81,NA,NA,2.71,2.68,1.71
"177",2007-06-19,2007,6,170,7,"3",1,0.001,0.01,0.014,0.024,0.001,0.11,0.81,NA,NA,2.73,2.75,1.66
"178",2007-06-19,2007,6,170,7,"3",66,0.001,0.007,0.01,0.072,0.001,0.13,0.9,NA,NA,3.36,2.86,1.75
"179",2007-07-26,2007,7,207,6.9,"2",66,0.001,0.006,0.005,0.076,0.003,0.11,0.93,NA,NA,3.4,2.91,1.66
"180",2007-07-26,2007,7,207,7.1,"3",1,0.004,0.011,0.011,0,0.002,0.08,0.63,NA,NA,2.34,2.56,1.66
"181",2007-07-26,2007,7,207,7,"3",66,0.001,0.005,0.006,0.071,0.001,0.11,0.91,NA,NA,3.36,2.88,1.64
"182",2007-08-22,2007,8,234,7,"2",66,0.001,0.005,0.006,0.073,0.002,0.12,0.93,NA,NA,3.73,2.86,1.74
"183",2007-08-22,2007,8,234,7.1,"3",1,0.002,0.007,0.011,0,0.001,0.07,0.62,NA,NA,2.23,2.48,1.69
"184",2007-08-22,2007,8,234,7,"3",66,0.001,0.005,0.005,0.075,0.003,0.11,0.92,NA,NA,3.74,2.89,1.72
"185",2007-09-18,2007,9,261,7,"2",1,0.001,0.012,0.017,0.001,0.002,0.1,0.68,NA,NA,2.03,2.43,1.65
"186",2007-09-18,2007,9,261,6.9,"2",66,0.001,0.006,0.007,0.077,0.002,0.12,0.89,NA,NA,3.75,2.85,1.7
"187",2007-09-18,2007,9,261,6.9,"3",66,0.001,0.006,0.006,0.078,0.002,0.12,0.88,NA,NA,3.7,2.86,1.73
"188",2008-05-21,2008,5,142,6.9,"2",1,0.001,0.006,0.008,0.093,0.006,0.16,0.85,NA,NA,3.62,2.94,1.74
"189",2008-05-21,2008,5,142,6.9,"2",66,0.001,0.005,0.007,0.065,0.007,0.13,0.87,NA,NA,4.03,3.02,1.84
"190",2008-05-21,2008,5,142,6.9,"3",66,0.001,0.004,0.008,0.063,0.008,0.12,0.87,NA,NA,3.91,2.87,1.84
"191",2008-06-12,2008,6,164,7,"2",1,0.003,0.014,0.018,0.045,0.005,0.11,0.81,NA,NA,3.34,2.86,1.78
"192",2008-06-12,2008,6,164,6.9,"2",66,0.001,0.005,0.006,0.065,0.005,0.11,0.88,NA,NA,4.05,2.92,1.81
"193",2008-06-12,2008,6,164,7,"3",1,0.032,0.042,0.045,0.045,0.017,0.13,0.8,NA,NA,3.54,2.84,1.76
"194",2008-06-12,2008,6,164,6.9,"3",66,0.008,0.014,0.013,0.065,0.007,0.12,0.86,NA,NA,4.12,2.98,1.81
"195",2008-07-09,2008,7,191,7.1,"2",1,0,0.011,0.018,0,0.004,0.08,0.51,NA,NA,2.84,2.68,1.79
